TaskID,Input_1,Output1_1
39,16.6,60.77
39,17.1,60.855000000000004
39,17.2,59.63
39,17.9,60.125
39,18.1,60.57
39,18.2,61.15
39,18.4,60.76
42,14.4,70.95
42,15.3,67.05
42,16.0,67.9
42,16.1,65.99
42,16.2,65.61
42,16.4,64.49
42,17.0,65.67
42,17.1,64.515
42,17.3,63.85
42,17.4,65.64
42,17.8,65.42
42,18.0,65
42,18.1,65.56
42,18.4,65.49
42,19.1,68.74
42,19.2,66.49
42,19.3,67.73
44,13.4,70.38999999999999
44,14.2,66.77
44,14.3,65.83500000000001
44,14.4,66.04
44,15.0,65.66
44,15.1,64.39
44,15.2,67.31
44,15.4,66.17
44,15.8,66.8
44,16.0,66.8
44,16.4,66.48
44,17.0,65.25
44,17.4,67.3
48,11.8,80.11
48,13.6,72.4
48,13.8,73.03
48,14.0,71.11
48,14.6,70.56
48,14.7,68.21
48,14.8,69.32
48,15.0,68.61
48,15.6,69.28
48,15.7,68.5
48,15.8,68.37
48,15.9,71.83
48,16.0,69.68
51,11.2,72.29499999999999
51,12.1,65.53
51,12.4,62.86
51,13.4,70.31
51,14.0,62.42
51,14.1,65.12
51,14.2,63.035000000000004
51,14.4,62
51,14.5,62.08
51,15.0,62.239999999999995
51,15.1,63.95
51,15.2,68.46
51,15.4,62.945
51,15.5,62.08
53,13.4,65.31
53,13.9,66.49
53,14.1,65.245
53,14.2,64.85
53,14.3,65.475
53,14.4,65.28
53,14.9,65.26
53,15.1,65.21
53,15.2,63.66
53,15.3,64.06
53,15.4,64.325
53,15.5,62.78
53,15.9,63.775
53,16.0,64.86
53,16.2,63.715
53,16.3,64.27
53,16.4,65.42
57,14.8,67.1
57,14.9,66.9
57,15.2,62.56
57,15.3,63.98
57,15.4,62.94
57,15.5,62.22
57,16.0,63.17
57,16.1,62.67
57,16.2,61.8
57,16.4,61.91
57,17.0,62.019999999999996
57,17.1,61.09
57,17.3,61.65
57,17.4,63.955
57,17.5,61.51
57,17.9,61.04
57,18.0,61.56
57,18.1,61.21
57,18.3,61.815
57,18.4,64.13
57,19.0,63.58
57,19.2,62.44
57,19.3,62.11
57,19.4,61.730000000000004
57,20.0,63.06
58,14.1,71.32
58,14.2,69.35
58,14.3,67.19
58,14.4,66.77
58,15.0,66.3
58,15.1,64.74
58,15.3,65.375
58,15.4,64.775
58,16.0,65.04
58,16.1,64.84
58,16.3,64.15
58,16.4,64.285
58,17.1,64.85
58,17.3,64.7
58,17.4,67.395
58,18.1,69.78
60,12.8,71.85
60,13.0,71.47
60,13.2,73.3
60,13.7,74.46
60,13.8,74.42
60,13.9,73.91
60,14.0,72.74
60,14.2,70.86
60,14.8,68.35
60,15.0,67.33
60,15.7,68.775
60,15.8,70.2
60,16.0,71.64
60,16.1,72.85
60,16.7,68.96
60,16.8,65.73
60,17.1,67.025
60,17.7,64.59
60,17.8,64.94
68,12.6,72.11
68,13.3,68.87
68,13.4,69.42
68,13.6,70.87
68,13.7,70.29
68,14.2,67.37
68,14.4,67.16
68,14.6,67.97
68,14.7,67.55
68,15.2,67.5
68,15.4,67.58
68,15.6,67.08
68,15.7,67.61500000000001
68,17.6,70.43
71,13.2,71.85
71,13.5,67.45
71,13.6,67.985
71,13.7,68.4
71,14.1,65.46000000000001
71,14.3,66.63
71,14.4,66.47
71,14.5,66.635
71,14.6,66.83500000000001
71,14.7,65.81
71,15.1,65.17
71,15.3,65.78999999999999
71,15.4,64.8
71,15.6,66.24000000000001
71,15.7,65.88
71,16.1,65.71
71,16.3,65.85
71,16.4,65.92
71,16.6,66.42
77,14.1,71.41
77,15.1,68.39
77,15.7,69.26
77,15.8,67.1
77,16.0,65.28
77,16.1,64.45
77,16.5,61.565
77,16.7,62.075
77,16.8,62.185
77,16.9,62.15
77,17.0,60.9
77,17.1,61.135
77,17.2,61.18
77,17.7,63.61
77,17.8,60.63
77,17.9,60.349999999999994
77,18.0,59.765
77,18.1,61.46
77,18.6,64.2
77,18.7,64.105
77,19.1,63.51
79,11.1,82.1
79,13.1,71.13
79,13.2,69.44
79,14.2,66.305
79,14.3,65.83
79,14.9,67.81
79,15.2,65.89
79,15.3,65.75
79,16.0,63.41
79,16.3,65.79
79,16.9,69.2
79,17.0,65.99
79,17.3,66.75
79,17.4,63.5
84,11.4,99.84
84,12.3,81.74
84,12.4,79.2
84,14.1,65.74000000000001
84,14.3,65.97
84,14.4,66.63
84,15.1,64.205
84,15.2,64.89
84,15.3,66.05
84,15.4,63.88
84,15.5,63.805
84,16.1,63.614999999999995
84,16.2,61.86
84,16.3,62.03
84,16.4,63.39
84,16.5,62.405
87,11.5,67.3
87,11.6,65.85
87,12.5,62.18
87,12.6,61.28
87,13.2,60.185
87,13.4,60.33
87,13.5,58.879999999999995
87,13.6,59.739999999999995
87,13.7,59.35
87,13.8,58.495
87,14.3,59.295
87,14.4,58.480000000000004
87,14.8,58.13
87,15.3,58.99
87,15.4,58.97
87,15.5,58.43
87,16.4,58.68
87,17.3,58.650000000000006
87,17.6,58.385
87,17.8,58.075
87,18.0,58.66
87,18.1,60.67
87,18.4,57.66
87,18.8,57.85
92,12.7,81.73
92,12.8,77.18
92,12.9,78.12
92,13.1,74.02
92,13.7,77.35
92,14.0,75.12
92,14.1,74.73
92,14.8,76.24
92,15.0,77.84
92,15.1,74.62
92,15.7,76.02
92,16.0,72.91
92,16.1,73.55
92,16.9,76.38
92,17.0,74.18
92,17.1,74.29
94,13.1,71.43
94,13.9,66.07
94,14.0,65.42
94,14.1,70.51
94,14.2,65.5
94,14.3,65.255
94,14.9,65.79
94,15.0,65.3
94,15.1,63.8
94,15.3,67.59
94,15.9,63.46
94,16.0,63.47
94,16.2,63
94,16.3,64.155
94,16.9,64.23
94,17.0,63.675000000000004
94,17.1,67.50999999999999
94,17.2,63.825
94,17.3,66.79
94,18.0,62.91
100,14.1,73.18
100,14.8,71.12
100,15.0,70.33
100,15.1,70.09
100,15.8,72.25
100,15.9,71.37
100,16.0,72.02
100,16.1,72.19
100,16.8,72.12
100,17.0,69.81
100,17.1,68.66
100,17.8,69.53
100,18.0,69.1
100,18.1,70.37
100,18.7,72.91
100,19.7,75
109,11.2,81.54
109,12.2,73.48
109,13.2,71.79
109,14.3,69.32
109,15.2,68.87
109,15.3,71.29
109,16.2,66.36500000000001
109,16.3,67.82
109,17.0,66.04
109,17.2,65.595
109,17.3,68.47
109,17.9,68.45
109,18.0,68.34
109,18.3,69.05
109,18.9,71.51499999999999
109,19.0,69.965
114,11.0,81.65
114,12.0,71.78
114,13.0,66.71
114,13.1,66.46
114,13.7,67.21
114,13.8,66.96
114,14.0,65.66
114,14.1,64.63
114,14.9,65.71
114,15.0,63.86
114,15.1,65.305
114,15.8,64.67
114,16.0,66.395
114,16.9,69.65
121,10.2,82.31
121,10.3,82.51
121,11.2,72.565
121,12.0,67.31
121,12.8,66.7
121,14.0,66.6
121,14.1,66.02
121,14.2,66.58
121,14.3,64.83
121,14.4,66
121,15.0,66.02
121,15.1,66.09
121,15.2,66.03
121,15.4,67.71
124,12.2,74.6
124,13.2,72.51
124,14.0,68.7
124,14.3,66.905
124,14.9,65.54
124,15.0,65.14
124,15.2,65.07
124,15.3,65.55
124,16.1,64.57
124,16.2,66.455
124,16.4,65.42
124,17.0,63.620000000000005
124,17.1,64.02
124,17.3,64.33
124,18.2,66.295
124,19.3,65.16
127,11.2,84.59
127,13.2,71.03
127,14.0,70.84
127,14.1,71.42
127,14.2,69.52
127,14.5,64.5
127,15.0,64.35
127,15.1,63.76
127,15.2,62.72
127,15.3,63.97
127,15.4,64.63
127,15.5,62.56
127,15.9,63.745
127,16.0,68.09
127,16.1,63.81
127,16.2,61.765
127,16.3,65.705
127,16.4,64.98
127,16.5,62.96
128,10.6,79.48
128,11.2,74.2
128,11.3,71.36
128,11.6,69.38
128,12.3,65.18
128,12.4,64.94
128,12.5,64.42
128,12.6,64.32
128,12.7,64.44
128,13.2,64.68
128,13.3,64.5
128,13.5,63.54
128,13.6,61.32
128,13.7,60.78
128,13.8,61.35
128,14.2,63.1
128,14.4,61.86
128,14.5,60.78
128,14.7,60.03
128,14.8,60.025000000000006
128,15.4,61.84
128,15.5,61.06
128,15.6,62.84
128,15.7,60.45
128,15.8,60.73
128,16.3,60.17
128,16.4,60.62
128,16.5,59.76
128,16.7,61.65
128,16.8,60.08
128,17.2,61.35
128,17.3,66.9
128,17.4,59.86
128,17.5,60.4
128,17.7,61.39
132,12.0,74.25
132,12.1,73.72
132,13.7,66.95
132,13.8,67.78
132,14.0,65.99
132,14.1,64.94999999999999
132,14.8,64.38499999999999
132,15.0,66.755
132,15.1,63.38
132,15.7,63.46
132,15.8,65.29
132,16.0,65.58
132,16.1,62.93
132,16.8,70.19
132,17.2,63.66
134,12.6,66.72
134,13.2,65.82
134,13.6,63.8
134,14.2,60.86
134,14.4,61.225
134,14.6,61.935
134,15.5,59.64
134,15.6,59.57
134,15.7,60.585
134,16.0,60.46
134,16.2,61.14
134,16.4,59.55
134,16.6,59.94
134,16.7,59.455
134,17.2,59.835
134,17.3,59.629999999999995
134,17.4,57.88
134,17.5,59.415
134,17.7,59.155
134,18.2,60.125
134,18.3,60.120000000000005
134,18.4,58.83
134,18.5,60.28
134,18.7,59.135
134,19.3,59.185
134,19.4,58.53
134,19.5,59.735
134,19.6,58.3
134,19.7,58.62
136,11.6,69.4
136,11.7,69.08
136,11.8,64.25
136,12.7,66.72
136,12.8,63.01
136,12.9,61.39
136,13.0,60.72
136,13.5,61.27
136,13.7,61.08
136,13.8,60.78
136,13.9,60.16
136,14.1,60.75
136,14.5,60.94
136,14.6,60.98
136,14.7,60.96
136,14.8,60.9
136,15.0,60.355000000000004
136,15.1,60.64
136,15.7,60.155
136,15.8,59.2
136,15.9,60.17
136,16.0,59.995000000000005
136,16.1,59.64
136,16.7,60.11
136,16.8,59.765
136,17.6,59.76
136,17.8,60.144999999999996
139,10.1,75.61500000000001
139,11.0,71.87
139,11.6,67.6
139,12.0,64.89500000000001
139,12.1,64.85
139,12.2,64.97
139,12.6,63.95
139,13.1,62.21
139,13.2,60.87
139,13.8,60.995000000000005
139,13.9,60.879999999999995
139,14.0,59.64
139,14.2,59.4
139,14.7,60.99
139,14.8,61.53
139,14.9,61.105000000000004
139,15.0,60.47
139,15.3,60.555
139,16.0,59.14
139,16.7,60.19
139,16.8,60.54
139,16.9,60.36
139,17.0,58.525000000000006
139,17.2,61.205
139,17.3,59.165
143,13.1,73.22
143,13.2,71.675
143,13.8,69.96
143,13.9,69.02
143,14.2,67.06
143,14.3,69.61
143,14.9,64.64
143,15.0,64.39
143,15.2,67.375
143,15.3,63.87
143,15.9,64.29499999999999
143,16.0,62.41
143,16.2,62.675
143,16.8,64.205
143,17.0,64.38
143,17.2,65.03999999999999
143,17.3,64.42
149,14.8,60.075
149,15.7,59.33
149,15.9,60.03
149,16.1,60.36
149,16.2,57.445
149,16.6,58.375
149,16.8,59.335
149,16.9,57.6
149,17.0,57.21
149,17.1,59.769999999999996
149,17.2,57.285
149,17.6,57.65
149,17.7,59.065
149,17.9,57.385000000000005
149,18.0,57.805
149,18.1,60.254999999999995
149,18.7,57.925
149,18.8,57.89
149,18.9,57.82
149,19.0,57.489999999999995
149,19.1,57.19
149,19.8,58.230000000000004
149,20.0,57.185
153,13.9,67.46
153,14.0,67.29
153,14.1,65.92
153,14.2,65.2
153,14.3,63.260000000000005
153,14.4,64.03
153,14.7,64.86
153,14.9,63.480000000000004
153,15.0,63.43
153,15.1,63.325
153,15.2,62.89
153,15.3,64.96
153,15.4,63.24
156,12.6,63.84
156,13.1,63.855000000000004
156,13.2,64.215
156,13.3,64.21
156,13.4,63.465
156,13.6,62.22
156,13.7,61.84
156,14.2,62.66
156,14.3,63.195
156,14.4,61.77
156,14.5,61.4
156,14.6,61.475
156,14.7,61.69
156,15.2,60.22
156,15.3,60.025
156,15.4,59.45
156,15.6,59.760000000000005
156,15.7,58.805
156,16.1,60.144999999999996
156,16.2,59.5
156,16.3,59.58
156,16.4,58.98
156,16.6,59.255
158,12.2,73.23
158,13.2,68.61
158,13.9,68.13
158,14.0,68.13
158,14.1,67.02
158,14.2,65.7
158,14.8,64.91
158,14.9,64.34
158,15.0,65.48
158,15.2,64.74
158,15.8,66.1
158,16.0,64.12
158,16.2,63.68
158,17.0,63.23
158,17.2,64.38
163,13.5,70.01
163,13.6,68.38
163,13.8,64.93
163,13.9,66.545
163,14.6,64.58
163,14.8,64.18
163,14.9,63.91
163,15.5,62.78
163,15.6,61.605000000000004
163,15.7,64.07
163,15.8,62.815
163,15.9,61.7
163,16.5,60.685
163,16.6,60.94
163,16.7,61.1
163,16.8,62.075
163,16.9,60.465
163,17.4,61.45
164,16.6,67.355
164,16.9,66.59
164,17.0,64.57
164,17.1,61.95
164,17.5,63.84
164,17.6,63.54
164,17.7,63.46
164,17.8,63.51
164,18.0,61.77
164,18.7,62.8
164,18.8,61.83
164,19.0,61.555
164,19.5,62.23
164,19.6,61.105000000000004
164,19.7,60.769999999999996
164,19.9,60.629999999999995
164,20.0,60.21
166,12.0,72.29
166,13.1,67.89
166,13.7,65.7
166,14.0,65.1
166,14.1,65.93
166,14.8,63.34
166,15.0,61.81
166,15.7,61.135000000000005
166,15.8,60.96
166,16.0,59.905
166,16.1,60.715
166,16.9,59.56
166,17.0,60.31
166,17.1,60.7
166,17.2,59.73
166,17.6,60.22
166,17.9,58.94
166,18.2,59.77
169,13.8,66.68
169,13.9,67.65
169,14.6,65.37
169,14.7,65.18
169,14.9,64.535
169,15.5,65.16
169,15.6,68.75
169,15.8,64.87
169,16.0,65.28
169,16.3,63.08
169,16.6,63.33
169,16.8,63.34
169,16.9,63.835
169,17.6,64.72
169,17.8,63.875
169,17.9,65.6
169,18.5,65.39
169,18.6,65.5
169,18.8,65.23
170,12.5,76.1
170,13.5,68.30000000000001
170,14.0,73.03
170,14.1,72.88
170,14.2,69.88
170,14.5,67.81
170,15.0,70.02
170,15.1,70.87
170,15.2,68.13
170,15.4,67.84
170,15.5,68.63
170,16.0,70.97
170,16.1,70.26
170,16.2,71.18
178,12.0,75.65
178,13.0,73.67
178,13.7,70.005
178,13.8,69.285
178,14.1,71
178,14.7,70.865
178,14.8,69.61
178,14.9,70.395
178,15.7,67.245
178,15.8,67.16
178,16.0,67.37
178,16.1,67.525
178,16.7,68.99
178,16.9,69.205
178,17.0,67.99
178,17.7,68.67
178,17.8,68.95
178,17.9,68.41499999999999
181,12.2,76.26
181,13.2,70.45
181,13.8,66.61
181,14.1,65.32
181,14.2,66.45
181,14.6,66.86
181,14.8,64.33500000000001
181,14.9,63.46
181,15.2,64.35
181,15.8,64.935
181,15.9,63.715
181,16.8,64.19
181,16.9,63.97
181,17.1,62.095
181,17.2,61.89
181,17.8,62.675
181,17.9,62.44
181,18.1,62.01
181,18.8,62.775
181,18.9,61.875
181,19.1,61.269999999999996
181,19.9,61.855000000000004
186,12.8,68.97
186,12.9,68.305
186,13.2,66.64
186,13.8,69.295
186,14.0,71.11
186,14.2,66.17
186,14.8,66.47
186,14.9,67.97
186,15.1,64.25
186,15.2,65.565
186,15.8,66.75
186,15.9,67.54
186,16.1,66.32
186,16.2,65.975
186,17.1,64.975
186,18.2,64.89
189,13.8,65.42500000000001
189,13.9,65.14
189,14.0,65.85
189,14.5,65.625
189,14.6,64
189,14.9,65.13
189,15.0,64.36
189,15.5,65.12
189,15.8,63.18
189,15.9,65.05
189,16.0,64.04
189,16.3,63.69
189,16.4,63.959999999999994
189,16.6,64.495
189,16.9,62.504999999999995
189,17.0,62.47
189,17.4,63.05
189,17.5,63.01
189,17.6,63.35
189,17.7,61.57
189,17.8,63.245000000000005
189,17.9,62.86
189,18.5,65.03
189,18.6,65.55
190,11.5,69.35
190,12.5,66.1
190,12.6,67.72
190,13.1,66.00999999999999
190,13.2,65.085
190,13.3,65.01
190,13.5,64.91499999999999
190,13.6,65.32
190,14.1,63.695
190,14.2,64.1
190,14.5,63.43
190,14.6,65.55
190,14.7,64.58
190,15.2,64.35
190,15.3,64.39
190,15.4,63.99
190,15.6,65.03999999999999
190,15.7,63.58
190,16.2,64.58500000000001
190,16.3,64.54
190,16.5,65.12
190,16.6,65.98
190,17.2,65.65
190,17.3,65.86
190,17.6,67.16
190,18.2,64.975
190,18.3,65.525
190,18.4,65.01
190,18.6,66.485
195,12.3,75.58
195,13.2,73.38
195,13.3,71.7
195,14.0,66.73
195,14.1,65.84
195,14.2,67.12
195,14.3,65.36
195,14.4,68.31
195,14.9,67.06
195,15.0,67.55
195,15.1,63.349999999999994
195,15.2,64.24
195,15.3,67.06
195,15.4,64.74
196,13.5,74.59
196,13.6,70.95
196,13.9,67.52000000000001
196,14.6,64.76
196,14.8,63.05500000000001
196,14.9,64.02
196,15.5,63.615
196,15.8,64.67
196,15.9,63.18
196,16.0,62.3
196,16.6,61.155
196,16.8,64.07
196,16.9,61.97
196,17.0,61.36
196,17.6,62.06
196,17.8,63.44
196,17.9,62.07
201,13.2,72.4
201,13.9,69.12
201,14.2,66.72
201,14.8,65.75
201,14.9,65.15
201,15.2,65.42
201,15.8,66.56
201,16.2,66.505
201,16.8,69.28
201,16.9,64.12
201,17.1,64.78
201,17.2,69.3
203,13.9,62.864999999999995
203,14.1,64
203,14.2,62.34
203,14.7,62.61
203,14.8,62.08
203,14.9,63.3
203,15.0,62
203,15.1,63.305
203,15.2,61.349999999999994
203,15.6,63.07
203,15.7,63.24
203,15.8,63.64
203,16.1,63.38
203,17.1,61.91
203,17.7,61.730000000000004
203,17.8,62.2
204,13.7,70.28
204,13.9,68.96
204,14.0,68.445
204,14.5,68.97
204,14.7,68.225
204,15.0,66.25999999999999
204,15.6,65.18
204,15.8,67.8
204,16.0,66.39
204,16.6,66.12
204,16.7,66.16
204,17.0,66.21
204,17.1,67.42
204,17.7,65.92
210,10.2,84.93
210,10.8,75.09
210,11.2,74.71
210,12.3,69.17
210,13.2,67.22
210,14.0,64.485
210,14.1,64.32
210,14.3,62.7
210,14.9,63.92
210,15.1,64.13
210,15.3,63.67
210,16.0,62.93
210,17.2,62.155
211,11.5,93.94
211,12.5,82.65
211,14.1,69.86
211,14.5,69.74
211,15.2,64.1
211,15.3,65.96
211,15.5,61.44
211,15.6,61.05
211,16.3,60.65
211,16.5,60.709999999999994
211,16.6,59.834999999999994
211,17.2,60.05
211,17.4,59.675
211,17.5,59.6
211,17.6,59.49
213,14.5,74.13
213,15.1,69.86
213,15.4,69.84
213,16.0,68.64
213,16.1,67.88
213,16.2,68.67
213,16.3,68.195
213,16.4,69.92
213,17.0,68.97
213,17.2,67.89
213,17.4,68.84
213,18.2,69.22
213,19.1,69.33
215,13.3,67.52
215,13.8,66.77
215,14.4,64.92500000000001
215,15.0,63.685
215,15.4,62.099999999999994
215,16.0,60.965
215,16.1,60.2
215,16.2,59.92
215,16.3,59.98
215,16.4,59.73
215,16.8,61
215,16.9,60.41
215,17.0,60.025000000000006
215,17.1,60.88
215,17.2,59.37
215,17.4,61.625
215,18.0,60.61
215,18.1,59.935
215,18.2,59.1
215,18.3,59.155
215,18.4,60.495000000000005
215,19.1,61.05
215,19.2,60.41
215,19.3,63.97
222,13.0,71.97
222,13.1,68.52
222,14.8,66.26
222,15.1,66.08
222,15.2,65.11
222,15.8,65.16
222,15.9,65.1
222,16.0,64.91
222,16.1,66.445
222,16.8,65.41499999999999
222,17.1,65.835
222,17.8,64.66999999999999
222,18.1,65.28
222,18.2,67.44
226,11.4,92.61
226,11.8,84.53
226,12.5,78.85
226,12.6,73.58
226,13.5,75.12
226,13.7,73.74
226,14.5,65.8
226,14.6,70.46
226,14.8,66.46
226,15.0,64.465
226,15.5,67.5
226,15.7,64.72
226,15.8,62.75
226,15.9,63.67
226,16.0,63.295
226,16.4,64.62
232,10.9,76
232,11.9,69.79
232,12.8,67.285
232,12.9,68.02
232,13.0,67.1
232,13.6,66.43
232,14.0,64.815
232,14.7,63.86
232,14.8,62.715
232,15.0,63.725
232,15.1,63.84
232,15.5,63.56
232,15.6,63.93
232,15.8,63.545
232,15.9,63.825
232,16.0,64.31
232,16.1,65.29
234,12.4,64.22
234,13.5,63.23
234,14.1,61.364999999999995
234,14.2,60.805
234,14.5,61.06
234,15.0,60.91
234,15.1,59.29
234,15.3,59.51
234,15.4,59.730000000000004
234,15.5,58.73
234,15.9,60.125
234,16.0,59.72
234,16.1,60.35
234,16.2,59.445
234,16.3,58.55
234,16.4,59.66
234,16.5,60.08
234,16.6,59.375
234,17.1,59.565
234,17.2,59.64
234,17.3,57.175
234,17.4,57.695
234,17.5,59.665
234,18.1,59.71
234,18.2,60.39
234,18.3,60.03
234,18.5,60.525000000000006
234,19.0,59.535
234,19.2,59.230000000000004
234,19.3,60.02
236,13.2,77.27
236,13.9,73.52
236,14.1,72.85
236,14.2,74.18
236,14.9,71.15
236,15.1,67.72
236,15.2,67.22
236,15.3,70.94
236,15.9,71.27
236,16.0,68.69
236,16.2,67.285
236,16.3,67.16
236,17.0,71.39
236,17.3,67.33
239,14.1,67.57
239,14.3,67.41
239,14.5,66.99
239,15.0,66.91
239,15.5,65.59
239,16.1,64.125
239,16.2,63.61
239,16.3,63.03
239,16.5,63.519999999999996
239,16.6,62.16
239,17.1,64.22
239,17.2,67.05
239,17.4,64.78
239,17.5,64.25999999999999
239,18.5,69.21
240,13.8,64.04
240,14.9,62.425
240,15.3,64.38
240,15.5,64.23
240,15.8,61.99
240,15.9,63.45
240,16.0,61.004999999999995
240,16.4,62.51
240,16.5,61.885000000000005
240,16.6,61.835
240,16.8,60.8
240,16.9,63.239999999999995
240,17.0,61.15
240,17.9,60.6
240,18.0,59.446666666666665
240,18.4,65.48
240,18.5,62.52
240,18.7,61.2
240,18.8,59.945
240,19.6,65.3
240,19.7,63.47
240,19.8,61.56
240,19.9,63.83
247,14.6,60.81
247,15.5,60.67
247,15.7,62.14
247,16.6,60.35
247,16.8,60.94
247,17.2,59.85
247,17.3,58.855000000000004
247,17.5,59.855000000000004
247,17.6,58.875
247,17.8,59.92
247,17.9,59.303333333333335
247,18.4,60.08
247,18.5,59.745000000000005
247,18.6,58.315
247,18.8,60.02
247,19.4,59.565
247,19.5,59.675
247,19.6,58.47
277,15.3,62.765
277,16.0,61.78
277,16.1,61.53
277,16.2,61.12
277,16.3,60.835
277,16.9,61.525
277,17.0,61.78
277,17.1,61.02
277,17.2,62.68
277,17.3,61.065
277,17.7,61.21
277,17.9,62
277,18.0,61.71
277,18.1,60.96
277,18.7,61.6
277,18.8,62.26
277,19.0,62.78
277,19.2,63.54
277,19.8,62.58
282,14.6,65.76
282,14.7,64.68
282,14.8,64.71000000000001
282,15.2,63.25
282,15.5,63.31999999999999
282,15.7,62.62
282,15.8,63.010000000000005
282,16.2,62.47
282,16.5,62.325
282,16.8,62.43
282,17.2,64.6
282,17.8,64.62
283,11.9,69.96
283,12.1,67.62
283,13.0,66.77
283,13.1,66
283,13.7,64.52000000000001
283,13.8,63.57
283,14.5,64
283,14.7,61.68
283,14.8,60.77
283,14.9,61.44
283,15.1,61.865
283,15.7,64.21
283,15.8,60.900000000000006
283,15.9,60.63
283,16.7,60.79
283,16.9,60.22
283,17.0,60.53
283,17.1,63.19
283,17.8,60.545
283,18.1,60.7
283,18.8,61.46
283,18.9,61.44
283,19.1,61.56
283,19.2,61.185
285,13.6,68.5
285,13.8,71.62
285,14.0,71.48
285,14.6,67.77
285,14.7,67.64
285,14.8,68.6
285,14.9,67.03
285,15.0,67.16
285,15.7,65.175
285,15.8,65.31
285,16.0,65.15
285,16.1,65.4
285,16.6,64.86500000000001
285,16.7,68.25
285,17.0,67.43
285,17.1,69.09
285,17.8,67.57
287,13.1,70.22
287,14.1,70.89
287,14.2,69.99000000000001
287,14.8,67.03
287,14.9,65.85
287,15.1,65.36500000000001
287,15.2,65.55
287,15.8,64.56
287,15.9,65.5
287,16.1,64.29
287,16.2,64.55
287,16.8,65.39
287,16.9,64.16
300,10.9,88.47
300,12.0,75.54
300,13.7,65.85
300,13.8,64.52
300,14.0,63.87
300,14.2,65.15
300,14.7,65.92
300,14.8,63.91
300,15.0,64.02
300,15.1,64.185
300,15.8,65.1
300,16.0,65.50999999999999
300,16.8,67.1
300,16.9,70.57
304,13.1,76.74
304,13.7,72.42
304,13.8,71.05
304,14.7,71.49
304,15.1,67.33
304,15.7,66.17
304,15.8,65.67
304,16.0,65.66
304,16.1,70.24
304,16.7,66.845
304,16.8,65.155
304,17.0,65.49000000000001
304,18.0,66.16
304,18.8,66.69
307,16.0,63.44
307,17.0,61.47
307,17.2,61.85
307,17.5,61.855
307,17.7,61.629999999999995
307,17.8,60.875
307,17.9,60.504999999999995
307,18.1,60.65
307,18.2,60.260000000000005
307,18.6,61.64
307,18.7,61.56
307,18.9,60.63
307,19.1,59.62
307,19.2,59.89333333333334
311,12.8,70.13
311,12.9,69.01
311,13.9,68.33
311,14.5,66.14
311,14.6,64.85499999999999
311,14.8,64.295
311,14.9,64.42500000000001
311,15.0,63.83
311,15.6,63.445
311,15.9,64.19
311,16.0,63.74
311,16.5,63.33
311,16.7,63.5
311,17.0,63.19
311,17.5,64.4
311,17.6,64.27
311,17.7,64.53
311,17.8,65.27
311,18.3,63.31
311,18.5,64.95
311,18.6,63.49
311,18.7,63.87
311,18.8,63.78
311,19.5,63.81
311,19.6,64.315
311,19.7,62.985
314,13.8,67.99
314,13.9,69.65
314,14.6,68.505
314,14.7,65.29
314,14.8,66.68
314,15.6,64.95
314,16.5,64.5
314,16.6,64.12
314,17.8,68.22
314,17.9,65.04
314,18.5,67.34
314,18.6,65.26
314,18.8,66.13
