TaskID,Input1,Output8_1,Output16_1,Dataframe
4,54,833.0,731.0,Train
4,55,783.0,696.0,Train
4,56,801.0,648.0,Train
4,57,975.0,823.0,Train
4,58,1099.0,922.0,Train
4,59,1188.0,1161.0,Train
4,60,1181.0,1168.0,Train
4,61,934.0,978.0,Train
4,62,935.0,1210.0,Train
4,63,1025.0,923.0,Train
4,64,907.0,833.0,Train
4,65,991.0,961.0,Train
4,66,1376.0,1389.0,Train
4,67,1572.0,1676.0,Train
4,68,1608.0,1752.0,Train
4,69,1410.0,1670.0,Train
4,70,1231.0,1430.0,Train
4,71,1062.0,1095.0,Train
5,0,930.0,836.0,Train
5,1,706.0,779.0,Train
5,2,660.0,757.0,Train
5,3,641.0,501.0,Train
5,4,790.0,414.0,Train
5,5,783.0,536.0,Train
5,6,813.0,887.0,Train
5,7,800.0,1187.0,Train
5,8,823.0,1367.0,Train
5,9,857.0,1244.0,Train
5,10,1137.0,1114.0,Train
5,11,1159.0,1178.0,Train
5,12,1137.0,967.0,Train
5,13,1191.0,1034.0,Train
5,14,1109.0,1194.0,Train
5,15,1170.0,1165.0,Train
5,16,1194.0,1261.0,Train
5,17,1261.0,1385.0,Train
5,18,1783.0,1656.0,Train
5,19,2018.0,1935.0,Train
5,20,1642.0,2046.0,Train
5,21,1504.0,2021.0,Train
5,22,1383.0,1721.0,Train
5,23,1136.0,1217.0,Train
5,24,941.0,934.0,Train
5,25,790.0,887.0,Train
5,26,695.0,817.0,Train
5,27,699.0,560.0,Train
5,28,820.0,446.0,Train
5,29,844.0,519.0,Train
5,30,746.0,830.0,Train
5,31,847.0,1072.0,Train
5,32,992.0,1190.0,Train
5,33,1133.0,1213.0,Train
5,34,1295.0,1201.0,Train
5,35,1220.0,1107.0,Train
5,36,1244.0,1012.0,Train
5,37,1062.0,964.0,Train
5,38,1023.0,1126.0,Train
5,39,1002.0,1085.0,Train
5,40,965.0,1140.0,Train
5,41,1151.0,1325.0,Train
5,42,1625.0,1871.0,Train
5,43,1777.0,2232.0,Train
5,44,1760.0,2200.0,Train
5,45,1642.0,2140.0,Train
5,46,1416.0,1781.0,Train
5,47,1137.0,1229.0,Train
5,48,942.0,853.0,Train
5,49,833.0,803.0,Train
5,50,725.0,779.0,Train
5,51,699.0,550.0,Train
5,52,760.0,443.0,Train
5,53,739.0,472.0,Train
5,54,706.0,823.0,Train
5,55,807.0,1225.0,Train
5,56,908.0,1369.0,Train
5,57,1126.0,1330.0,Train
5,58,1221.0,1209.0,Train
5,59,1332.0,1219.0,Train
5,60,1171.0,1037.0,Train
5,61,1125.0,963.0,Train
5,62,1066.0,1053.0,Train
5,63,1292.0,984.0,Train
5,64,1335.0,971.0,Train
5,65,1342.0,1072.0,Train
5,66,1696.0,1420.0,Train
5,67,1779.0,1912.0,Train
5,68,1830.0,1948.0,Train
5,69,1584.0,1846.0,Train
5,70,1528.0,1718.0,Train
5,71,1292.0,1252.0,Train
6,0,971.0,893.0,Train
6,1,801.0,833.0,Train
6,2,716.0,823.0,Train
6,3,661.0,545.0,Train
6,4,773.0,439.0,Train
6,5,770.0,504.0,Train
6,6,723.0,884.0,Train
6,7,861.0,1184.0,Train
6,8,965.0,1402.0,Train
6,9,1150.0,1455.0,Train
6,10,1160.0,1391.0,Train
6,11,1119.0,1287.0,Train
6,12,1161.0,1122.0,Train
6,13,1069.0,1145.0,Train
6,14,948.0,1152.0,Train
6,15,921.0,1127.0,Train
6,16,928.0,1034.0,Train
6,17,1086.0,1027.0,Train
6,18,1528.0,1522.0,Train
6,19,1864.0,1814.0,Train
6,20,1517.0,1903.0,Train
6,21,1609.0,1685.0,Train
6,22,1470.0,1415.0,Train
6,23,1119.0,1028.0,Train
6,24,867.0,794.0,Train
6,25,766.0,766.0,Train
6,26,682.0,705.0,Train
6,27,705.0,545.0,Train
6,28,803.0,434.0,Train
6,29,791.0,482.0,Train
6,30,783.0,852.0,Train
6,31,837.0,1147.0,Train
6,32,1069.0,1322.0,Train
6,33,1285.0,1050.0,Train
6,34,1302.0,961.0,Train
6,35,1295.0,1027.0,Train
6,36,1251.0,920.0,Train
6,37,1141.0,734.0,Train
6,38,969.0,958.0,Train
6,39,1079.0,813.0,Train
6,40,1015.0,849.0,Train
6,41,1118.0,913.0,Train
6,42,1530.0,1446.0,Train
6,43,1830.0,1734.0,Train
6,44,1641.0,1843.0,Train
6,45,1467.0,1701.0,Train
6,46,1459.0,1487.0,Train
6,47,1305.0,1209.0,Train
6,48,997.0,954.0,Train
6,49,848.0,907.0,Train
6,50,783.0,881.0,Train
6,51,709.0,612.0,Train
6,52,840.0,482.0,Train
6,53,770.0,516.0,Train
6,54,800.0,720.0,Train
6,55,771.0,695.0,Train
6,56,898.0,750.0,Train
6,57,1163.0,903.0,Train
6,58,1143.0,939.0,Train
6,59,1181.0,968.0,Train
6,60,1202.0,909.0,Train
6,61,1121.0,842.0,Train
6,62,1097.0,749.0,Train
6,63,1143.0,901.0,Train
6,64,1099.0,866.0,Train
6,65,1129.0,989.0,Train
6,66,1429.0,1283.0,Train
6,67,1766.0,1594.0,Train
6,68,1581.0,1578.0,Train
6,69,1433.0,1456.0,Train
6,70,1298.0,1468.0,Train
6,71,1106.0,1129.0,Train
7,0,958.0,858.0,Train
7,1,897.0,805.0,Train
7,2,861.0,785.0,Train
7,3,709.0,587.0,Train
7,4,792.0,446.0,Train
7,5,747.0,469.0,Train
7,6,719.0,679.0,Train
7,7,696.0,672.0,Train
7,8,655.0,670.0,Train
7,9,844.0,756.0,Train
7,10,1012.0,932.0,Train
7,11,1116.0,995.0,Train
7,12,1008.0,1018.0,Train
7,13,1005.0,747.0,Train
7,14,871.0,664.0,Train
7,15,806.0,584.0,Train
7,16,867.0,503.0,Train
7,17,908.0,641.0,Train
7,18,1235.0,1114.0,Train
7,19,1410.0,1482.0,Train
7,20,1409.0,1711.0,Train
7,21,1335.0,1756.0,Train
7,22,1201.0,1411.0,Train
7,23,1100.0,1111.0,Train
7,24,939.0,756.0,Train
7,25,736.0,651.0,Train
7,26,700.0,663.0,Train
7,27,661.0,421.0,Train
7,28,783.0,369.0,Train
7,29,796.0,420.0,Train
7,30,736.0,791.0,Train
7,31,864.0,945.0,Train
7,32,915.0,1050.0,Train
7,33,958.0,1053.0,Train
7,34,1201.0,913.0,Train
7,35,1187.0,986.0,Train
7,36,1157.0,839.0,Train
7,37,1002.0,906.0,Train
7,38,952.0,938.0,Train
7,39,941.0,871.0,Train
7,40,827.0,859.0,Train
7,41,948.0,951.0,Train
7,42,1346.0,1449.0,Train
7,43,1444.0,1871.0,Train
7,44,1395.0,1884.0,Train
7,45,1429.0,1724.0,Train
7,46,1318.0,1395.0,Train
7,47,1120.0,1073.0,Train
7,48,933.0,756.0,Train
7,49,762.0,611.0,Train
7,50,709.0,667.0,Train
7,51,658.0,436.0,Train
7,52,826.0,354.0,Train
7,53,797.0,414.0,Train
7,54,746.0,750.0,Train
7,55,840.0,1012.0,Train
7,56,905.0,1132.0,Train
7,57,1096.0,919.0,Train
7,58,1123.0,913.0,Train
7,59,1237.0,983.0,Train
7,60,1110.0,791.0,Train
7,61,1025.0,826.0,Train
7,62,905.0,853.0,Train
7,63,853.0,797.0,Train
7,64,931.0,785.0,Train
7,65,1019.0,970.0,Train
7,66,1440.0,1513.0,Train
7,67,1790.0,1852.0,Train
7,68,1635.0,1916.0,Train
7,69,1504.0,1778.0,Train
7,70,1269.0,1443.0,Train
7,71,1123.0,1056.0,Train
8,0,901.0,769.0,Train
8,1,739.0,605.0,Train
8,2,655.0,644.0,Train
8,3,648.0,460.0,Train
8,4,803.0,388.0,Train
8,5,811.0,412.0,Train
8,6,726.0,772.0,Train
8,7,864.0,1085.0,Train
8,8,1010.0,1168.0,Train
8,9,1109.0,1187.0,Train
8,10,1250.0,1142.0,Train
8,11,1308.0,1226.0,Train
8,12,1167.0,1057.0,Train
8,13,1008.0,917.0,Train
8,14,918.0,1011.0,Train
8,15,884.0,954.0,Train
8,16,844.0,871.0,Train
8,17,975.0,1044.0,Train
8,18,1325.0,1497.0,Train
8,19,1766.0,1875.0,Train
8,20,1504.0,1922.0,Train
8,21,1504.0,1713.0,Train
8,22,1251.0,1446.0,Train
8,23,1063.0,1085.0,Train
8,24,860.0,830.0,Train
8,25,706.0,722.0,Train
8,26,668.0,628.0,Train
8,27,534.0,417.0,Train
8,28,673.0,376.0,Train
8,29,638.0,421.0,Train
8,30,572.0,749.0,Train
8,31,757.0,945.0,Train
8,32,897.0,1078.0,Train
8,33,1166.0,1069.0,Train
8,34,1281.0,1050.0,Train
8,35,1215.0,1126.0,Train
8,36,1309.0,967.0,Train
8,37,1228.0,897.0,Train
8,38,1008.0,1043.0,Train
8,39,1079.0,955.0,Train
8,40,1082.0,1036.0,Train
8,41,1198.0,1162.0,Train
8,42,1450.0,1606.0,Train
8,43,1632.0,1928.0,Train
8,44,1426.0,1999.0,Train
8,45,1483.0,1779.0,Train
8,46,1463.0,1519.0,Train
8,47,1156.0,1203.0,Train
8,48,874.0,900.0,Train
8,49,762.0,746.0,Train
8,50,679.0,746.0,Train
8,51,567.0,504.0,Train
8,52,676.0,427.0,Train
8,53,678.0,475.0,Train
8,54,622.0,834.0,Train
8,55,766.0,1126.0,Train
8,56,910.0,1223.0,Train
8,57,1045.0,1194.0,Train
8,58,1251.0,1069.0,Train
8,59,1194.0,1066.0,Train
8,60,1322.0,836.0,Train
8,61,1184.0,763.0,Train
8,62,981.0,897.0,Train
8,63,1130.0,856.0,Train
8,64,1089.0,817.0,Train
8,65,1083.0,991.0,Train
8,66,1409.0,1495.0,Train
8,67,1551.0,1938.0,Train
8,68,1497.0,1961.0,Train
8,69,1497.0,1824.0,Train
8,70,1333.0,1578.0,Train
8,71,1211.0,1405.0,Train
9,0,999.0,995.0,Train
9,1,937.0,877.0,Train
9,2,810.0,741.0,Train
9,3,606.0,526.0,Train
9,4,702.0,447.0,Train
9,5,662.0,449.0,Train
9,6,683.0,695.0,Train
9,7,739.0,763.0,Train
9,8,891.0,903.0,Train
9,9,1116.0,980.0,Train
9,10,1198.0,1006.0,Train
9,11,1204.0,1059.0,Train
9,12,1243.0,934.0,Train
9,13,1154.0,801.0,Train
9,14,1177.0,945.0,Train
9,15,1141.0,933.0,Train
9,16,1143.0,929.0,Train
9,17,1203.0,1134.0,Train
9,18,1457.0,1577.0,Train
9,19,1598.0,1817.0,Train
9,20,1541.0,1970.0,Train
9,21,1490.0,1995.0,Train
9,22,1416.0,1669.0,Train
9,23,1235.0,1292.0,Train
9,24,1033.0,999.0,Train
9,25,911.0,830.0,Train
9,26,780.0,792.0,Train
9,27,625.0,577.0,Train
9,28,658.0,469.0,Train
9,29,541.0,490.0,Train
9,30,607.0,675.0,Train
9,31,682.0,651.0,Train
9,32,762.0,645.0,Train
9,33,844.0,782.0,Train
9,34,972.0,910.0,Train
9,35,1086.0,1044.0,Train
9,36,965.0,1056.0,Train
9,37,897.0,791.0,Train
9,38,804.0,664.0,Train
9,39,713.0,590.0,Train
9,40,698.0,640.0,Train
9,41,951.0,690.0,Train
9,42,1207.0,1070.0,Train
9,43,1345.0,1466.0,Train
9,44,1451.0,1833.0,Train
9,45,1268.0,1683.0,Train
9,46,1184.0,1408.0,Train
9,47,1104.0,1124.0,Train
9,48,954.0,884.0,Train
9,49,726.0,743.0,Train
9,50,629.0,641.0,Train
9,51,554.0,479.0,Train
9,52,655.0,414.0,Train
9,53,689.0,421.0,Train
9,54,669.0,802.0,Train
9,55,756.0,1041.0,Train
9,56,871.0,1149.0,Train
9,57,895.0,1117.0,Train
9,58,1096.0,1127.0,Train
9,59,1032.0,1139.0,Train
9,60,1164.0,996.0,Train
9,61,1103.0,986.0,Train
9,62,1117.0,1043.0,Train
9,63,1097.0,926.0,Train
9,64,1160.0,1012.0,Train
9,65,1107.0,1203.0,Train
9,66,1521.0,1820.0,Train
9,67,1709.0,2097.0,Train
9,68,1625.0,2088.0,Train
9,69,1373.0,1980.0,Train
9,70,1332.0,1543.0,Train
9,71,1085.0,1073.0,Train
10,0,850.0,887.0,Train
10,1,746.0,826.0,Train
10,2,664.0,803.0,Train
10,3,564.0,545.0,Train
10,4,681.0,484.0,Train
10,5,679.0,517.0,Train
10,6,578.0,881.0,Train
10,7,726.0,1156.0,Train
10,8,901.0,1290.0,Train
10,9,931.0,1277.0,Train
10,10,1083.0,1217.0,Train
10,11,1154.0,1340.0,Train
10,12,1251.0,1089.0,Train
10,13,1117.0,1082.0,Train
10,14,935.0,1280.0,Train
10,15,1056.0,1216.0,Train
10,16,986.0,1178.0,Train
10,17,1069.0,1291.0,Train
10,18,1453.0,1736.0,Train
10,19,1689.0,2047.0,Train
10,20,1649.0,2107.0,Train
10,21,1406.0,2081.0,Train
10,22,1356.0,1790.0,Train
10,23,1137.0,1179.0,Train
10,24,901.0,826.0,Train
10,25,743.0,775.0,Train
10,26,652.0,731.0,Train
10,27,554.0,529.0,Train
10,28,726.0,434.0,Train
10,29,699.0,494.0,Train
10,30,609.0,812.0,Train
10,31,787.0,1165.0,Train
10,32,894.0,1446.0,Train
10,33,986.0,1472.0,Train
10,34,1114.0,1302.0,Train
10,35,1194.0,1341.0,Train
10,36,1348.0,1059.0,Train
10,37,1242.0,1175.0,Train
10,38,1154.0,1218.0,Train
10,39,1130.0,1120.0,Train
10,40,1028.0,1228.0,Train
10,41,1133.0,1149.0,Train
10,42,1346.0,1494.0,Train
10,43,1595.0,1913.0,Train
10,44,1665.0,1900.0,Train
10,45,1535.0,1839.0,Train
10,46,1437.0,1654.0,Train
10,47,1157.0,1251.0,Train
10,48,922.0,1031.0,Train
10,49,814.0,872.0,Train
10,50,693.0,813.0,Train
10,51,588.0,577.0,Train
10,52,723.0,539.0,Train
10,53,719.0,530.0,Train
10,54,621.0,937.0,Train
10,55,784.0,1143.0,Train
10,56,921.0,1459.0,Train
10,57,935.0,1479.0,Train
10,58,1009.0,1440.0,Train
10,59,1092.0,1353.0,Train
10,60,1238.0,1098.0,Train
10,61,1183.0,987.0,Train
10,62,1002.0,1027.0,Train
10,63,1124.0,964.0,Train
10,64,1113.0,1060.0,Train
10,65,1201.0,1083.0,Train
10,66,1577.0,1653.0,Train
10,67,1911.0,2066.0,Train
10,68,1712.0,2171.0,Train
10,69,1675.0,2071.0,Train
10,70,1500.0,1766.0,Train
10,71,1167.0,1270.0,Train
11,0,901.0,963.0,Train
11,1,888.0,896.0,Train
11,2,773.0,791.0,Train
11,3,628.0,593.0,Train
11,4,685.0,503.0,Train
11,5,669.0,539.0,Train
11,6,592.0,983.0,Train
11,7,787.0,1174.0,Train
11,8,911.0,1606.0,Train
11,9,1002.0,1494.0,Train
11,10,1002.0,1427.0,Train
11,11,1083.0,1440.0,Train
11,12,1130.0,1235.0,Train
11,13,1123.0,1197.0,Train
11,14,1148.0,1411.0,Train
11,15,1143.0,1266.0,Train
11,16,1059.0,1226.0,Train
11,17,1171.0,1308.0,Train
11,18,1484.0,1579.0,Train
11,19,1769.0,2095.0,Train
11,20,1854.0,2248.0,Train
11,21,1708.0,2063.0,Train
11,22,1615.0,1715.0,Train
11,23,1257.0,1481.0,Train
11,24,1056.0,1059.0,Train
11,25,958.0,964.0,Train
11,26,854.0,874.0,Train
11,27,631.0,631.0,Train
11,28,731.0,519.0,Train
11,29,722.0,558.0,Train
11,30,642.0,791.0,Train
11,31,679.0,779.0,Train
11,32,860.0,960.0,Train
11,33,1015.0,1085.0,Train
11,34,1076.0,1050.0,Train
11,35,1214.0,1158.0,Train
11,36,1305.0,1178.0,Train
11,37,1342.0,1044.0,Train
11,38,1308.0,938.0,Train
11,39,1332.0,916.0,Train
11,40,1110.0,1097.0,Train
11,41,1262.0,1289.0,Train
11,42,1561.0,1621.0,Train
11,43,1830.0,1868.0,Train
11,44,1774.0,2008.0,Train
11,45,1672.0,1974.0,Train
11,46,1544.0,1642.0,Train
11,47,1261.0,1386.0,Train
11,48,1147.0,1117.0,Train
11,49,975.0,923.0,Train
11,50,867.0,871.0,Train
11,51,659.0,618.0,Train
11,52,679.0,564.0,Train
11,53,716.0,603.0,Train
11,54,652.0,791.0,Train
11,55,682.0,696.0,Train
11,56,702.0,858.0,Train
11,57,942.0,938.0,Train
11,58,1130.0,951.0,Train
11,59,1282.0,1184.0,Train
11,60,1164.0,1161.0,Train
11,61,1082.0,1008.0,Train
11,62,1080.0,1082.0,Train
11,63,1103.0,990.0,Train
11,64,1160.0,954.0,Train
11,65,1134.0,930.0,Train
11,66,1319.0,1287.0,Train
11,67,1594.0,1766.0,Train
11,68,1659.0,1856.0,Train
11,69,1538.0,1855.0,Train
11,70,1335.0,1551.0,Train
11,71,1204.0,1216.0,Train
12,0,989.0,968.0,Train
